Palmas2022,Aprendizaje,Preferencia,Satisfacción
GascaHurtado2021,Aprendizaje,,
Lee2021,Aprendizaje,,
Gough2021,Aprendizaje,,
Zhang2021,Utilidad,Satisfacción,
Skalka2021,Aprendizaje,,
Ng2021,Aprendizaje,Satisfacción,Utilidad
Yusri2021,Satisfacción,,
Cheng2020,Aprendizaje,,
Norsanto2018,Aprendizaje,Motivación,
